province,altimetry,n_farms,tot_sau_ha,lambda1,lambda2,lambda3,s1,s2,s3,max_yield,risk,share of ladies,wheat acreage distribution,farm acreage distribution,age distribution
Napoli,Collina,81,4402,0.05824,1.01292,1.49873,0.95537,0.24202,0.09447,60.33,8.44,0.43,lognorm|1.9842049888935553|-0.00022051055013705433|6.179242448464352,lognorm|1.7941974999922605|0.00036071712576402136|14.532822240573454,weibull_min|4.723643027743688|1.556867701748843|67.86213698616248
Napoli,Pianura,69,1112.3,0.02334,1.21873,1.33775,0.51369,0.09465,0.08638,45.05,12.58,0.25,betaprime|10.757861808050926|1.2905608125973003|-0.16399649026595253|0.26873876647890105,betaprime|1.4754683274748754|1.6748668889182299|0.06461304826290226|8.603557672910032,weibull_min|5.047601580140702|-0.8565963615340637|67.04548819760514
Nuoro,Collina,130,4219.5,0.14835,1.68074,1.49873,0.52542,0.29759,0.09447,47.46,6.66,0.3,betaprime|1.4086681870483537|1.478245900549934|0.011369872462891945|2.538167682998238,pareto|1.2707828481141046|-15.235662017113892|15.266164916664147,weibull_min|4.2085417601382265|0.9089952421111029|63.14445902674496
Nuoro,Montagna,30,1534.7,0.08125,1.59599,3.41232,0.5361,0.07342,0.19924,78.52,9.12,0.2,lomax|6980011190.479676|0.00034702988607868937|53084872584.76665,exponweib|0.9267861693684829|1.041927680876135|0.0014048907123781736|55.03024973496224,gamma|9.73820141579165|-0.1904962626475398|5.256849431224529
Oristano,Collina,243,7631.4,1.5389,1.68074,1.49873,0.14869,0.29759,0.09447,22.33,4,0.28,betaprime|1.4557527751384947|1.774324619959135|0.034432566106403606|3.3701143782269254,betaprime|1.4718943357396999|1.6985936389313019|0.08633338952170452|18.557021727899816,weibull_min|4.263603025093234|-0.1774818812550751|65.805737382731
Oristano,Pianura,393,11252.1,0.27802,0.90704,1.33775,0.39245,0.36463,0.08638,49.15,8.64,0.19,betaprime|1.5781605563756353|1.9117227982373532|0.04005820310923938|4.373399746557464,exponweib|13.965327434547266|0.32060523033851307|-0.09213772120883222|0.4834845471790509,weibull_min|4.376040376747452|0.32588311681063786|62.68166635891272
Padova,Collina,39,547.1,0.14835,1.4739,1.49873,0.52542,0.14158,0.09447,74.01,7.11,0.28,exponweib|1.044715058188208|0.9841583231909017|0.0008291755294927847|3.7575621496244644,invgauss|2.406917269521537|-0.45018771335396|6.628630636278968,exponweib|1.0410066578101647|4.504382889389317|-0.13297830009050043|65.73217353666556
Padova,Pianura,487,10636.2,0.01753,1.99854,1.88266,0.50852,0.13768,0.18019,81.57,12.74,0.28,betaprime|3.235417585062997|1.437405740904888|-0.010802931724232686|0.9574623977904054,betaprime|2.309083151531042|0.8710300041016037|0.18002142981269215|1.5016266054998622,weibull_min|4.675880798670078|2.6886446160029127|67.94418075867836
Palermo,Collina,3649,60406,0.01708,4.7453,0.95701,0.60277,0.24737,0.20699,84.55,9.16,0.37,invgauss|1.6121466061168572|-0.22162441792046517|3.969889024809822,invgauss|2.5930670121932766|0.0030081424427468115|6.326596017116211,exponweib|1.1955702446012473|4.230775296178599|-4.624383455181839|70.26192613267554
Palermo,Montagna,2896,64335.2,0.08125,2.10776,3.41232,0.5361,0.14187,0.19924,51.6,7.89,0.36,exponweib|13.537606455311504|0.3394496648546639|0.01293779595762415|0.1537598468380214,invgauss|3.018703711952662|-0.011995258679497852|7.420945764609025,weibull_min|4.414036504434375|-2.028209333498226|69.44588348670848
Palermo,Pianura,592,16019,0.27802,1.70938,1.33775,0.39245,0.3382,0.08638,41.8,10.01,0.33,invgauss|2.4573477369587398|-0.28871944372833647|4.144762525853601,betaprime|1.525615062728356|1.558797545572074|0.07534237494444822|11.7736982860363,weibull_min|4.346624983284995|-0.23003929281624658|66.47487622973443
Parma,Collina,189,10399.8,0.14835,0.16444,2.65735,0.52542,0.25615,0.12295,75.78,12.56,0.19,lognorm|1.0770099357509029|0.031099654926238864|5.052138225570769,lognorm|1.130079273713111|0.09818112789212809|30.895740895188915,weibull_min|4.257005881325413|-0.47433460544219896|63.022278458969524
Parma,Montagna,22,961.5,0.08125,1.59599,3.41232,0.5361,0.07342,0.19924,78.52,9.12,0.14,betaprime|1.3062906166530044|1.4488565295172435|0.007344052441090539|2.363015012584083,exponweib|1.333751980098553|0.6386865325905355|0.00024731516338039993|24.952266996587134,weibull_min|5.2823710717941035|-0.29396856413046213|58.90667591106828
Parma,Pianura,277,16363.6,0.04617,1.38838,0.97977,0.11786,0.13574,0.13892,77.67,12.03,0.16,lognorm|1.0833719237063664|-0.014375417544894395|7.314052963508445,gamma|1.1470431373418497|0.02282931861650107|50.9907290506555,exponweib|0.9000230817909457|4.346998283224251|3.2302555672941593|62.43630585307503
Pavia,Collina,70,2960.3,3.39343,1.4739,1.49873,0.17232,0.14158,0.09447,49.6,8.94,0.21,lognorm|1.0971721094222815|0.009057182637857904|4.664193183574382,betaprime|1.0278955386720685|142.83087258738146|0.0013711535286790913|5869.443568926024,weibull_min|3.958020421419384|0.0023082203264236396|63.575241604485
Pavia,Montagna,10,289.1,0.08125,1.59599,3.41232,0.5361,0.07342,0.19924,78.52,9.12,0.3,betaprime|1.348444319120683|1.3704335118830688|0.0054674516027496504|1.865879124675215,invgamma|0.8836930343455225|-0.3298267844986208|4.799052994938188,betaprime|18.723957159931935|451.46001775838465|-4.974495866596254|1381.605696493848
Pavia,Pianura,155,8127.7,0.19346,0.14052,1.33775,0.4666,0.7487,0.08638,80.84,12.65,0.22,betaprime|1.5191858959371705|1.7911920459291064|0.05007883455530018|5.838147558846831,exponweib|1.0716882285498304|0.8018098478989297|0.0004066493204777607|41.20613485282796,weibull_min|4.497420131242734|2.160490982794345|64.62402298571627
Perugia,Collina,880,35881.2,0.02747,2.58423,1.49873,0.34091,0.26996,0.09447,70.56,9.13,0.25,betaprime|1.4650006421589117|1.7038211479612484|0.05547986156649158|5.108041447891598,betaprime|1.2462297872569066|1.3016717201370396|0.03950943424774357|16.248119400809536,weibull_min|3.8472335175987182|2.248724885100053|62.74068613498483
Perugia,Montagna,192,4341.2,0.03703,1.93265,3.41232,0.96685,0.47363,0.19924,65.64,11.18,0.31,betaprime|2.640782530931946|1.3610373322196239|-0.006105515298730435|0.9503401973373066,invgauss|1.95996912731552|-0.8414503000721592|12.315930950910175,weibull_min|4.15894581097651|0.697917786988752|64.4041731623166
Pesaro e Urbino,Collina,2321,66416.5,0.03047,1.87154,0.45103,0.64576,0.19308,0.11255,70.08,9.87,0.26,lognorm|1.1669109942008062|0.016209285854551597|4.697794371788083,betaprime|1.3882290275489322|1.4106969320663114|0.04777961979686536|10.936340167546058,weibull_min|4.583424963744227|0.4589315536077103|68.42797980778403
Pesaro e Urbino,Montagna,159,7034,0.01528,0.70596,3.41232,0.4535,0.22771,0.19924,50.74,6.25,0.25,exponweib|13.639677460419065|0.33720063295989566|0.004420876573244147|0.19724309318093158,betaprime|1.497754030437761|1.7771926528499664|0.19260256558571354|22.68859439531852,weibull_min|4.957357186727192|-2.4369374077411257|69.36961902299916
Pescara,Collina,1030,14192,0.07482,1.89967,2.8834,0.43765,0.11667,0.16243,75.61,10.8,0.3,lognorm|1.0748439368477345|1.2684471727349175e-05|2.449988031466151,betaprime|5.371980386361878|1.4873853214932653|0.12637256211377668|1.5707248590490728,weibull_min|4.843247362241611|-3.046544910474637|68.84936373815012
Pescara,Montagna,129,1618.4,0.01622,0.88591,3.41232,0.36244,0.17874,0.19924,40.21,5.24,0.27,exponweib|12.157604744953218|0.3601617280718451|0.0017141477672735065|0.10057216752739248,lognorm|1.01397525189542|0.5106642104276365|7.346504439689152,exponweib|1.0187097779721928|4.273331971056789|-1.0620500433805902|65.85085244129587
Piacenza,Collina,162,11918.7,0.14835,2.70382,2.65735,0.52542,0.08502,0.12295,72.86,8.13,0.12,lognorm|1.1071608450849506|-0.00020299878350121025|7.758301921517422,exponweib|10.94852017971925|0.36056058812209235|0.2875080702138876|2.406047207676812,weibull_min|5.063073983705602|-1.363142689730891|62.88205450906932
Piacenza,Montagna,17,661.5,0.08125,1.59599,3.41232,0.5361,0.07342,0.19924,78.52,9.12,0,lomax|53.31219779537325|0.0022951876048841967|289.14035542580973,weibull_min|1.4525721885712062|0.005282717690631954|43.718218009526275,exponweib|2.9113328108911367|1.5414399670515209|3.639064991805333|31.523468638025207
Piacenza,Pianura,146,13704.1,0.56197,0.33831,1.05509,0.40164,0.24991,0.10146,69.17,9.77,0.13,betaprime|1.0264633072209532|61823.63254706755|0.0009442713190531697|1050978.1740908406,exponweib|1.2629734489991167|0.9785360627951394|0.0036679564595433313|80.09094460183509,weibull_min|4.739173608689752|0.9831900310833181|60.2330721148102
Pisa,Collina,509,30882.5,0.09269,0.36856,2.29604,0.63545,0.1644,0.25899,56.17,8.45,0.28,betaprime|1.3972591002296102|1.6688589080317509|0.08728340999882164|11.496320225562869,lognorm|1.1639464351686644|-0.015283001655250074|32.35619014042207,weibull_min|4.5018708622361885|-0.871213075752659|66.15362528882451
Pisa,Pianura,139,10823.5,0.03007,0.42043,1.33775,0.49817,0.26295,0.08638,60.67,8.59,0.17,lognorm|1.2295058221508803|0.021449969843571625|9.117230076232554,exponweib|0.99981063350508|0.8081034520689148|0.0008797191072519767|67.8487642975155,weibull_min|4.499001319512141|1.2974999753245129|64.78844932015384
Pistoia,Collina,14,397.5,0.0343,0.80747,2.29604,0.41604,0.2591,0.25899,67.73,9.62,0.21,betaprime|2.110505605025765|0.8380387073987431|0.06731285441823132|0.49627837029576216,pareto|0.7783297327834539|-2.1750257112873723|2.291961890420412,gamma|11.240149270963737|-0.01700307095845212|5.48818002359374
Pistoia,Montagna,10,87.6,0.02171,2.19669,3.41232,0.47398,0.1774,0.19924,58.93,7.29,0.5,gamma|0.9910414772729317|0.00030426410771899995|2.5887970782406295,lomax|1109.0589555070464|0.0002304028922189656|9896.244025551256,weibull_min|3.2724098656954324|1.5135073859478005|63.71292337443661
Potenza,Collina,4376,89319.5,0.03837,1.68049,1.49873,0.64508,0.33758,0.09447,75.49,7.16,0.35,lognorm|1.1769622863640814|-0.0022122966570365713|5.333836103040242,lognorm|1.1913144775183269|0.017585176410001315|10.230244723453394,weibull_min|4.3658505052952785|-0.7293326826418294|66.88669660733274
Potenza,Montagna,2706,47510.5,0.08125,2.23181,3.41232,0.5361,0.68809,0.19924,69.71,7.87,0.45,lognorm|1.1529514500478508|0.012514219212958082|2.24764050939184,lognorm|1.1555355739809277|0.015611940896902335|8.635980914861944,weibull_min|4.599686290987583|-1.100766060601634|66.28199775339033
Ragusa,Collina,1419,28275.3,0.16488,0.768,0.95701,0.73664,0.48104,0.20699,53.22,10.89,0.29,lognorm|1.045158539245955|0.01313201969840526|3.2049171124330496,invgauss|2.3252635627883427|-0.6177511994719745|9.025756645149286,weibull_min|4.607778114187305|-1.434280700390739|68.1410773524373
Ragusa,Pianura,279,3715.1,0.27802,1.70938,1.33775,0.39245,0.3382,0.08638,63.7,10.55,0.29,betaprime|3.560299835210209|1.717442646814679|-0.007350526156826837|1.0077561722182824,betaprime|9.817907109117805|1.1809646384012153|-0.15337209223709333|0.4471759284945126,weibull_min|4.282595743349265|0.49967477465298504|65.57781166816355
Ravenna,Collina,26,829.5,0.14835,2.21637,2.65735,0.52542,0.24712,0.12295,75.78,10.99,0.23,betaprime|2.6910530078411012|3.6967575770184653|0.12653900357077175|5.9940262592060325,weibull_min|1.4225599535345181|0.08600621675751519|35.12710529475908,gamma|12.452408642651076|2.9044028416133414|4.31261680373866
Ravenna,Pianura,898,48532,0.15698,1.67589,0.38668,0.21538,0.06509,0.05595,79.65,9.09,0.12,lognorm|1.0453071996508831|0.025263125884779948|4.528281046177252,betaprime|1.4528977363941675|1.5320554496697023|0.13431850667441672|19.920051499843016,weibull_min|4.830061269708763|-0.779001305997582|68.08411459775039
Reggio Calabria,Collina,278,2561.7,0.02774,0.86094,1.49873,0.34092,0.62333,0.09447,47.31,8.68,0.28,betaprime|1.823391486695196|1.7698317597267978|0.002113659371620785|0.9802760396962316,invweibull|1.1633632272353285|-0.10112203387304028|2.30906712135039,weibull_min|5.337751533854464|-0.46896636895068916|69.67913160372234
Reggio Calabria,Montagna,142,1317.9,2.5125,1.59599,3.41232,0.30872,0.07342,0.19924,27,6.72,0.32,betaprime|1.8657694430973077|1.976475571057855|-0.001098655175006715|1.019056543448675,betaprime|4.309882153168999|1.368142447700384|-0.014096526657501402|0.8162431910948466,weibull_min|4.759662024305394|-0.6008783358049175|67.75010409338043
Reggio Calabria,Pianura,38,192.1,0.27802,1.13799,0.31987,0.39245,0.4194,0.62643,43.83,5.99,0.21,betaprime|2.340016454425428|1.7867379385012505|-0.001183896049953287|1.0221883684004456,betaprime|2.931574625891369|1.6608853723255217|0.0373209008056308|1.2792110905342913,weibull_min|4.872877855879011|2.9232856040349002|66.55099229344363
Reggio nell'Emilia,Collina,28,913.1,0.01717,2.21637,2.65735,0.42464,0.24712,0.12295,73.56,11.87,0.25,betaprime|1.4961799391815678|1.7621602384944688|0.014234150239128936|2.894628399713757,weibull_min|1.0072486696050662|0.007369388630796971|33.02515393826466,gamma|13.095848424865657|-3.279260251223916|4.506257477303892
Reggio nell'Emilia,Montagna,11,337.1,0.08125,1.59599,3.41232,0.5361,0.07342,0.19924,78.52,9.12,0.09,invgauss|0.9176143751597143|-0.0003089046851549701|4.856976405460132,gamma|1.0044185275377084|0.004839815121923715|30.568944640728034,weibull_min|7.171108466695852|2.5040652121191305|54.48632936210454
Reggio nell'Emilia,Pianura,106,4340.6,2.37475,1.43242,1.05509,0.08542,0.07157,0.10146,55.45,8.52,0.17,lognorm|1.1517806761370541|0.006142965982367957|3.7732441158251553,betaprime|1.362945975989363|1.4327336336830487|0.059953420159756826|17.305540855025512,weibull_min|4.9440132361285345|-3.2613739897981024|72.85995419320756
Rieti,Collina,69,2540.6,0.01,0.3279,1.49873,0.27772,0.1177,0.09447,45.1,12.72,0.36,betaprime|1.2500342435698606|1.4535334504086|0.014944197007375235|4.424372242262512,invgamma|0.9080914625085128|-0.5009253026231186|6.610941834188235,gamma|15.912673659958205|1.838005958212046|3.680873233418998
Rieti,Montagna,90,1511.4,2.64197,1.59599,3.41232,0.11541,0.07342,0.19924,36.05,9.62,0.38,betaprime|1.9795913324265655|1.4614423368744816|0.0028598161222187102|1.0315231174123873,invgauss|2.549348145907194|-0.5326680111651292|6.570725321564041,weibull_min|3.9561258845500866|0.28349867544729557|62.28382117521077
Rimini,Collina,150,6858.5,0.14835,2.21637,2.65735,0.52542,0.24712,0.12295,67.67,7.12,0.15,lognorm|1.063332286266514|-0.028641511461921104|5.3398703955229285,invgauss|1.9609152469128865|0.03690190464854336|22.955204252809715,weibull_min|4.2972362032981914|-1.6933413757428777|65.35929512127919
Rimini,Pianura,82,2029,0.07188,1.43242,1.05509,0.8655,0.07157,0.10146,56.26,5.56,0.26,invgauss|2.131200799975801|-0.024035825104653536|2.906687180366338,betaprime|1.8228757543284795|1.0910649416283558|0.3791289044788996|4.000862642517181,weibull_min|4.469491989487837|-0.4855693281772151|67.77681116293886
Roma,Collina,430,18149.7,0.18062,0.80145,1.49873,0.27772,0.1497,0.09447,64.18,12.59,0.23,betaprime|1.5150938929767155|1.7510673533626573|0.023695965417470634|6.138722237918389,betaprime|1.372997937677169|1.483968390039335|0.09396484388365639|16.40931326612408,weibull_min|4.767698633227944|-0.4242962171038367|67.5133119284755
Roma,Montagna,19,510.1,2.64197,1.59599,3.41232,0.11541,0.07342,0.19924,36.05,9.62,0.26,betaprime|1.5179237090125883|1.5123678273777172|0.01222167336299377|2.4651142185299806,betaprime|1.3273231436444686|1.401974786786678|0.02115148076468282|12.290324119326375,exponweib|2.3136337468874313|1.947683632951092|13.8368331746315|35.10630494663391
Roma,Pianura,620,45454.1,0.01969,0.36448,1.33775,0.54758,0.29078,0.08638,80.25,10.96,0.31,betaprime|1.5616285519461601|1.6182227451051814|0.017201097701300218|9.67011450111682,betaprime|1.288316853395842|1.5137829032961951|0.13637429690943403|34.979801303784626,exponweib|2.80354941996728|6.753012216253197|-86.70819134253733|139.7032343020797
Rovigo,Pianura,666,33766.1,0.06117,0.63723,2.4846,0.45604,0.15536,0.17163,75.71,6.27,0.19,lognorm|0.959512272231301|0.005067011648419299|6.349193341508946,exponweib|21.471977026503936|0.26758723015820796|-0.2406593767668761|0.2536971851808002,weibull_min|4.512899090196974|0.8349109576133746|64.20079131647535
Salerno,Collina,1050,6914.2,0.02061,1.01292,1.49873,0.76621,0.24202,0.09447,30.22,8,0.35,betaprime|2.018549143728357|2.5313046031867508|0.002468990283591977|1.0618022990760716,betaprime|3.857700230662774|1.7707590323545772|0.03758116022283834|1.2683861512107697,weibull_min|4.2634193930185|2.826334816856739|62.0485444435885
Salerno,Montagna,212,2010.7,0.07719,1.05411,3.41232,0.82203,0.18124,0.19924,76.15,8.54,0.34,betaprime|1.7547389687727224|2.0375834500376073|0.002314040200041907|1.0583985706536378,betaprime|2.8963534196293423|1.4710472456952512|0.039473717744467354|1.441060761250239,weibull_min|4.887198098487183|-1.0064640687828752|67.27638494628052
Salerno,Pianura,197,2281.2,0.27802,1.21873,1.33775,0.39245,0.09465,0.08638,78.65,8.6,0.33,betaprime|1.8704561202165462|1.486940786289567|0.011560007379193596|1.077236338173884,betaprime|3.881274004497195|1.1747138666842447|0.011877818668065095|0.8987987684279821,weibull_min|4.0525287032573685|-0.6011790616301451|64.69004889370788
Sassari,Collina,184,7915.2,0.14835,1.68074,1.49873,0.52542,0.29759,0.09447,34.61,7.76,0.18,betaprime|1.3931045958798265|1.5306501940733481|0.03260894395416153|4.484436440436758,exponweib|1.0176018483506255|0.8513610930053626|0.00032094337723236147|37.52009802855967,weibull_min|3.68768822414551|0.5212987541239003|60.84440026149916
Sassari,Montagna,15,1242.8,0.08125,1.59599,3.41232,0.5361,0.07342,0.19924,78.52,9.12,0.2,pareto|11519152.103124173|-134217727.99927652|134217727.99999999,weibull_min|0.99088276821948|0.0038659437807896995|83.32650499372494,gamma|11.137840261452181|0.07036362989384395|4.2973159032001575
Sassari,Pianura,170,6818.9,1.53754,1.84726,1.33775,0.27859,0.24139,0.08638,22.57,6.24,0.21,weibull_min|1.0131261545083952|0.001616174403819963|9.700247495795715,exponweib|12.233945764904849|0.3272967091319638|0.07854247168586526|0.8719451349384337,gamma|12.706790530025547|-1.5368260805381109|4.597509036136193
Siena,Collina,718,56209.3,0.05076,2.65701,2.29604,0.89127,0.2608,0.25899,57.83,10.22,0.26,betaprime|1.444159535813954|1.6444905487756245|0.09832983718076087|11.877495604622126,betaprime|1.4233895007005277|1.6394716481074032|0.22506824318046034|44.46776715592564,weibull_min|4.184889650506507|1.2653975767924948|63.58430484067012
Siena,Montagna,51,2896.5,0.06308,2.19669,3.41232,0.52978,0.1774,0.19924,50.02,6.9,0.25,weibull_min|0.986938693485047|0.0018421120962612998|17.434050747708476,exponweib|13.400526673440545|0.4451778621100989|0.345723032035836|3.3884472776629293,weibull_min|4.070201973578554|0.7856251496414398|62.01827186870418
Siracusa,Collina,831,19313.1,0.03961,1.07684,0.95701,0.87491,0.43974,0.20699,62.61,11.35,0.29,lognorm|1.1185417165127316|-0.015723758100967402|3.4532331437881765,invgauss|2.906918027622284|-0.6788908612846773|8.605707084090934,weibull_min|4.128957053155572|2.4659391283927476|63.563798075965735
Siracusa,Pianura,353,9873.8,0.00676,1.70938,1.33775,0.9474,0.3382,0.08638,50.32,7.47,0.25,exponweib|23.816928373049656|0.271542476152663|-0.06517669667666809|0.03963901481871807,invweibull|0.9115060588878309|-0.23413507560874197|5.4238397368031475,weibull_min|4.518636760926412|0.45869848560949444|66.72389505096396
Sondrio,Montagna,13,303,0.08125,1.59599,3.41232,0.5361,0.07342,0.19924,78.52,9.12,0.15,invweibull|0.5479015245613914|-0.002159150802875426|0.103334061664086,betaprime|2.0510310660744544|0.8706421663649216|0.12752862922532282|1.1210381470362325,invgauss|0.1377039762246275|26.517138348360263|183.18351662142572
Sud Sardegna,Collina,1282,31562.5,0.14835,1.68074,1.49873,0.52542,0.29759,0.09447,45.15,5.75,0.26,lognorm|1.211226483318862|0.019996433474779335|3.5896752238995813,exponweib|12.83597432775209|0.35005845812932734|-0.004369411835097155|0.6537740060108352,weibull_min|4.492991283015705|-0.09906200366562769|67.36931583056533
Sud Sardegna,Pianura,1600,37954.3,0.27802,0.91132,1.33775,0.39245,0.38043,0.08638,45,6.8,0.22,lognorm|1.1793763660407621|-0.002490359094997345|4.222079241226431,exponweib|18.882064792965714|0.31593464505758817|-0.06251350997821964|0.29289821671464233,weibull_min|4.534960097349114|-0.7841422581397579|67.81041241943787
Taranto,Collina,1501,29774.7,0.01605,1.39069,1.49873,0.63577,0.22456,0.09447,49.45,7.53,0.33,lognorm|1.1153072007050828|-0.0160879854964411|3.4789688655471855,invweibull|1.0115695879260334|-0.4628521027242182|5.155423468889046,weibull_min|4.679182925325524|0.5986883831308589|65.38971889910519
Taranto,Pianura,1141,19410.9,0.16046,3.01398,1.55287,0.68884,0.56984,0.21911,41.84,9.37,0.32,invgauss|2.8046536990434907|-0.15149363824472206|1.8693533055523837,betaprime|2.1522249838176086|0.9866353954440872|0.17277147083926864|1.7424301830728575,weibull_min|4.678588968484796|1.7316299506681077|67.05295698908978
Teramo,Collina,907,14097.7,0.0569,0.76029,2.8834,0.41395,0.19491,0.16243,65.39,10.99,0.3,lognorm|1.1262247903457419|-0.0007580409094112749|2.8273409379042516,invgauss|2.602765185987346|-9.527208787721384e-05|5.9440194176938475,exponweib|0.9701496126285891|4.4504944792450205|1.5389456637529302|65.80169786579008
Teramo,Montagna,47,1533.3,0.09712,0.88591,3.41232,0.56351,0.17874,0.19924,78.64,11.38,0.32,betaprime|1.2567055887768848|1.44979078238463|0.014667581682006662|3.3629152383720124,betaprime|2.200833308750749|1.0389085507944882|0.40098329951552303|3.7330837670752275,weibull_min|4.432123600978055|0.13794931090001167|69.06663617237473
Terni,Collina,281,11969.8,0.01928,1.61717,1.49873,0.4529,0.17917,0.09447,78.2,12.14,0.25,betaprime|1.5562939203404411|1.8113397744740454|0.056468670593313564|5.718763422638479,betaprime|1.2727909820278254|1.384076654875225|0.08272613893721822|19.56673501004836,weibull_min|4.152590631054739|0.1894045990784401|64.80280009469902
Torino,Collina,70,956.2,0.14835,1.4739,1.49873,0.52542,0.14158,0.09447,75.78,11.78,0.24,lognorm|1.1368605809776284|-0.004915395806767757|1.7674869822911314,invgauss|2.5797403972220336|-0.42936047404027755|5.763353245350583,weibull_min|4.692506626486875|0.819493744695867|65.51433882378322
Torino,Montagna,16,268,0.08125,1.59599,3.41232,0.5361,0.07342,0.19924,78.52,9.12,0.38,betaprime|2.1174085456808984|0.8801042224317117|0.022388459643489823|0.19470952782329232,betaprime|1.634359585160024|0.8542292194563682|1.0082935734937886|1.524292930639131,weibull_min|5.810258430524114|-1.5865831558239787|69.44573426283748
Torino,Pianura,196,4422.1,0.01698,0.52838,1.33775,0.67641,0.24362,0.08638,74.53,12.36,0.29,pareto|58.9123518424089|-299.8716506649147|299.8720387396144,betaprime|1.4085205640393967|1.6020839718806417|0.10129476021951712|12.77848543096867,weibull_min|4.641860668337523|0.6268904237270883|62.31816764294342
Trapani,Collina,2462,33327.7,0.06667,0.25568,0.95701,0.34025,0.04563,0.20699,49.98,7.23,0.35,invgauss|1.9575013356723674|-0.17920800772241474|2.7413923598746197,lognorm|1.125191918665278|-0.00805641139379045|7.166553195826554,weibull_min|4.6516583039591595|3.780255441210448|64.84338215222999
Trapani,Pianura,1302,16726.6,0.02186,0.33255,1.33775,0.72979,0.15807,0.08638,67.66,11.4,0.32,betaprime|1.4789086169212837|1.5581002586162072|0.007811747931253658|2.524430386340877,invgauss|2.0551238174092217|-0.4213087826131928|6.326608170497023,weibull_min|4.6261483639373155|3.4121830037667484|64.60420070644327
Trento,Montagna,56,857.1,0.08125,1.59599,3.41232,0.5361,0.07342,0.19924,78.52,9.12,0.21,pareto|0.7304613119807435|-0.12723705011002362|0.1346596402645063,betaprime|2.6128644100845717|0.8080834010668|0.08178057288037875|0.6726577514386456,weibull_min|4.838319308007218|-2.7325301910696815|64.06034054572609
Treviso,Collina,46,1477.2,0.14835,1.4739,1.49873,0.52542,0.14158,0.09447,74.01,7.11,0.35,betaprime|2.138833238032354|2.2697400648618578|0.009843347034767636|1.20887872655421,invgamma|0.8234878346624628|0.011223730987890599|2.366761964747956,weibull_min|4.477582268261197|-0.053825489707630014|69.11494019351633
Treviso,Pianura,209,1948.3,0.0983,1.99854,1.88266,0.86849,0.13768,0.18019,75.56,16.39,0.29,betaprime|2.711562328471832|1.9419596606825962|-1.008369213915764e-05|0.9439403341612783,betaprime|12.196250623160367|1.0484543478574424|0.08707454609281895|0.16870692991556124,weibull_min|5.205212640794371|-0.882139875519768|71.10114877871509
Udine,Collina,16,449.3,0.14835,1.4739,1.49873,0.52542,0.14158,0.09447,75.78,11.78,0.44,betaprime|3.070885830397639|1.3751524672957474|0.0046489075969224705|1.0147481903220297,betaprime|2.1287970549192368|0.9779826729999336|0.30622016627238646|2.9279279958086377,weibull_min|5.777978416428237|1.4025540913963574|67.60765077335478
Udine,Pianura,80,2791.2,0.27802,1.21873,1.33775,0.39245,0.09465,0.08638,78.65,13.44,0.2,betaprime|2.3167665730341254|1.442361623556431|0.01667836551616398|1.0318319662064368,invgamma|0.8524352094870082|-0.37119510110012555|3.136989648938064,weibull_min|4.750131267621424|0.9805615781284562|69.99978531644163
Venezia,Pianura,229,4340.9,0.0983,1.99854,1.88266,0.86849,0.13768,0.18019,63.69,10.59,0.36,invgamma|1.7618842077311452|-0.30714317755590814|3.6480035202459744,invgamma|0.9793534460904505|-0.35343877087177983|3.4066086602989305,weibull_min|5.609496963767825|-1.645796780259992|73.21685972188962
Verona,Collina,14,180.1,0.14835,1.4739,1.49873,0.52542,0.14158,0.09447,74.01,7.11,0.14,exponweib|0.9834353253909784|0.9997379349269033|0.00018824396585779998|5.22581679837831,invgamma|1.5511740956689524|0.34805592995535306|8.806071773045112,weibull_min|3.977282807134519|0.0762735021288331|61.66016094036175
Verona,Pianura,308,12907.1,0.02317,1.99854,1.88266,0.53861,0.13768,0.18019,68.78,9.76,0.18,betaprime|1.7602361745046047|1.73127306686172|0.038245971475412116|4.426206765833456,betaprime|1.38097883200065|1.361914203765345|0.037258498472567875|16.15151850300141,weibull_min|4.142911706767002|-0.972816899299902|65.0351875318775
Vibo Valentia,Collina,345,1873.3,0.03277,0.86094,1.49873,0.72303,0.62333,0.09447,60.11,6.93,0.28,betaprime|1.7239861157862268|2.0619062492601303|0.0007690969608578226|1.0245166082061707,betaprime|2.7456470085906477|1.713774613057658|0.05032806064720668|1.5335970010331352,weibull_min|5.190905078891468|-2.315019634873915|69.35441418283389
Vibo Valentia,Montagna,21,461,0.08125,1.59599,3.41232,0.5361,0.07342,0.19924,40.87,5.39,0.29,betaprime|1.4856574614762095|1.504564723737857|0.0019296038303502116|1.0284195707597372,invgamma|0.9013510743465659|-0.04279930514033817|2.3897507377955858,exponweib|0.982469107773311|5.241065237014496|1.5884240496864184|65.98018935833113
Vicenza,Collina,100,1872.4,0.14835,1.4739,1.49873,0.52542,0.14158,0.09447,68.74,7.13,0.28,invgauss|2.6437417138470063|-0.1562667473256753|2.0152626255139636,betaprime|1.4337593281642782|1.5850041379845146|0.04821000491395587|9.095358701447381,exponweib|1.0208065387063296|5.001814277297571|1.0572775772981666|68.0235258109157
Vicenza,Pianura,172,4047.6,1.761,1.99854,1.88266,0.04998,0.13768,0.18019,62.45,2.64,0.26,lognorm|1.126310439245614|-0.0004020451685760179|2.713783643566371,betaprime|2.5487859764863585|0.9447835405201876|0.17426530940238935|1.8108476111109575,weibull_min|4.729464388437368|-1.0092174870834083|70.16645006288292
