province,altimetry,n_farms,tot_sau_ha,lambda1,lambda2,lambda3,s1,s2,s3,max_yield,risk,share of ladies,wheat acreage distribution,farm acreage distribution,age distribution
Caserta,Pianura,328,3790.6,2.08374,1.21873,1.33775,0.14723,0.09465,0.08638,51.55,5.73,0.29,exponweib|15.670842373797054|0.3204954531567296|0.001486236665942615|0.060123249702830464,betaprime|1.804085857480871|1.8700900943524923|0.044849038016006926|5.961369709487935,exponweib|0.9714894219362962|4.3685648009723606|2.1260845180499532|61.868829362668635
Catania,Collina,3027,58558.2,0.16488,1.31613,0.95701,0.73664,0.22252,0.20699,40.01,10.13,0.32,lognorm|1.1708586701961914|0.01445572552118494|4.474299610324119,lognorm|1.2432004066575624|0.012694448656680297|8.712689502728985,exponweib|0.8311614072484323|4.642326740506403|4.659688734907661|64.79833213291147
Catania,Montagna,351,6493.9,0.08125,2.10776,3.41232,0.5361,0.14187,0.19924,51.6,8,0.33,betaprime|2.957570788504521|1.27561667822599|0.00439288676866415|1.0896905174938443,betaprime|1.8597771220236612|1.0786962693341906|0.2339654825938931|2.8181367226412064,weibull_min|4.251466693843669|-0.7260154048971641|67.39652895635088
Catania,Pianura,339,12808.6,0.27802,1.70938,1.33775,0.39245,0.3382,0.08638,63.7,10.55,0.31,betaprime|1.849729447825382|1.7942863509364864|0.03728227946605321|7.900202457117538,invgauss|2.4897527411527856|-1.2559716407844876|16.589761199906356,weibull_min|4.197748985357772|1.0049343495483463|65.18285487768918
Catanzaro,Collina,401,6260.9,0.02774,0.86094,1.49873,0.34092,0.62333,0.09447,35.05,4.15,0.31,betaprime|1.4739569001146768|1.5785044427591277|0.007329660398593476|1.9027010090351169,betaprime|1.8864092105123724|1.0156834409956783|0.1911787325386523|1.97016852061997,weibull_min|4.652209195493368|1.1261904124932873|66.68390154350544
Catanzaro,Montagna,44,312.8,0.08125,1.59599,3.41232,0.5361,0.07342,0.19924,40.87,5.39,0.32,betaprime|1.3007527117839865|1.3891034560713904|0.0010829817522190323|0.9290908295988464,exponweib|14.12828015900622|0.32389064083160746|0.018222329077651006|0.11862923584160581,weibull_min|3.9798032960429235|1.4439281601858491|62.494474991279425
Catanzaro,Pianura,34,285.4,0.01441,1.13799,0.31987,0.19132,0.4194,0.62643,35.31,7.2,0.44,betaprime|1.9483455023287464|1.2309441300627308|0.05188233988269721|0.6223271663727071,invweibull|1.088190713660079|-0.382366150551243|2.1448545277398594,weibull_min|4.125562775717055|-0.27648655418075585|64.16603520389478
Chieti,Collina,3024,31369.8,0.06061,0.36237,2.8834,0.50858,0.12858,0.16243,73.54,9.04,0.39,lognorm|1.0734667069292405|-0.0038104495762269312|2.141057759464547,exponweib|12.215205906223176|0.38746370477015096|0.04868822291837295|0.37379031934302787,exponweib|1.3247869797633105|5.673319597602889|-15.674128746849648|80.40484200646239
Chieti,Montagna,209,4228.5,0.05726,0.35546,3.41232,0.52972,0.28343,0.19924,79.93,11.14,0.38,invgauss|2.438211083463656|-0.16194472245429947|2.1733542539644244,lognorm|1.1432645184930088|-0.009417252847458932|10.455901496548403,exponweib|0.8968784753728771|4.596911810434738|3.758443140548305|61.83760125960717
Cosenza,Collina,1115,16833.2,0.04259,0.86094,1.49873,0.30747,0.62333,0.09447,56.06,8.02,0.31,betaprime|2.158256177339067|1.527974903902582|0.005483141841886495|1.1844914655232248,invgauss|2.3356962189534904|-0.44849529217460377|6.324770451847,exponweib|0.926352813439503|4.690019942201776|2.0455765335035454|64.99162683642217
Cosenza,Montagna,375,4145.6,0.02264,1.59599,3.41232,0.56415,0.07342,0.19924,41.79,5.11,0.28,betaprime|1.8699101805870944|1.526388672345758|0.004257546345290371|1.1660872978505366,invgauss|3.178922419469761|-0.0038061552816728724|3.4581725172981717,weibull_min|4.691372119659359|1.3653374287807263|65.02951489949456
Cosenza,Pianura,218,4221.1,0.27802,1.13799,0.31987,0.39245,0.4194,0.62643,43.83,5.72,0.3,betaprime|1.9540481865198203|1.3648624862635597|0.008424254341271257|1.101365481166598,invgamma|0.9566531987071394|-0.32783924411983645|3.48581587729158,weibull_min|4.75187681393199|-0.06394422312986711|68.70901430543668
Cremona,Pianura,164,9469.9,0.03726,5.1572,1.33775,0.2361,0.18632,0.08638,64.88,8.23,0.15,betaprime|1.1958659627062649|287208.4962302495|0.0027889709296729966|2311733.6149378745,betaprime|0.8832496518839977|15.94006286386239|0.0016238921922601287|966.7027938085926,weibull_min|4.648825397641247|-0.7987282200116286|66.86923452115639
Crotone,Collina,232,4703.4,0.02774,0.86094,1.49873,0.34092,0.62333,0.09447,35.6,5.39,0.31,invgamma|1.2953930724048406|-0.26591202584048207|2.065127159536484,invgamma|1.0593650466621776|-0.3862391788357697|4.473228362726017,weibull_min|4.210049722351643|-0.3363448297933359|67.09171631647452
Crotone,Montagna,61,1659.9,0.03784,1.59599,3.41232,0.63729,0.07342,0.19924,39.41,4.47,0.3,betaprime|1.4172985852001867|1.4630751697269784|0.005033869615340042|3.1849052572937815,betaprime|2.299578842506069|0.9182395714738616|0.26994901776751806|2.222604952564633,weibull_min|3.4728613885942137|-1.8801562406061618|64.10911707406315
Crotone,Pianura,982,17697.4,0.27802,0.92302,0.31987,0.39245,0.43063,0.62643,43.83,5.95,0.32,lognorm|1.0754105458870145|0.016497849687480397|3.8582486010701365,invgauss|3.213361945747195|-0.0007118561990985588|5.564035512794726,weibull_min|4.266576419037016|-1.0083737396547399|67.00877318103602
Cuneo,Collina,88,1511.8,0.14835,1.4739,1.49873,0.52542,0.14158,0.09447,75.78,11.78,0.22,invgauss|2.582157781036813|-0.009878814688058568|1.2938538609974914,lognorm|1.0685801156894281|0.023143801702093743|9.69062140895691,weibull_min|4.266850412183606|2.506911214176009|59.71903930545645
Cuneo,Montagna,22,257.8,0.08125,1.59599,3.41232,0.5361,0.07342,0.19924,78.52,9.12,0.18,betaprime|1.029867743559832|38.596626613796246|9.724492551811058e-06|57.68535921403834,betaprime|1.241532876367662|1.392696110525538|0.03761263063960178|5.695314013185451,gamma|13.358445647026866|-1.4866131889743304|4.025524407091673
Cuneo,Pianura,127,2643.8,0.01698,0.52838,1.33775,0.67641,0.24362,0.08638,74.53,12.36,0.14,lognorm|1.1853837566918668|0.004345141707198799|2.930630263165914,expon|0.0039519553148769|20.907074276867128,weibull_min|4.754620256589492|0.49111720243931495|61.658128128779516
Enna,Collina,3230,69413.9,0.16488,2.63277,0.95701,0.73664,0.3038,0.20699,46.07,7.01,0.38,lognorm|1.140649040773407|0.009696465932524111|4.6431896252416545,invgauss|3.272000800055555|-0.01857541252268722|6.746405109352171,weibull_min|4.349394941516872|-2.3821971444121104|68.82044676447006
Enna,Montagna,718,20685.9,0.08125,2.10776,3.41232,0.5361,0.14187,0.19924,35.61,6.95,0.37,betaprime|3.242741332792909|1.4193602426105267|0.008462314740095057|1.1181674556683638,invgauss|2.750635944243383|0.03147152037648518|10.798100337571327,weibull_min|3.8175596916883237|0.27410485273019886|63.074752596490626
Fermo,Collina,1168,22971.9,0.0363,2.08038,0.45103,0.88655,0.30317,0.11255,69.87,9.25,0.25,betaprime|4.257113876319668|1.4469112690064025|0.009224287054772837|1.0696346514882347,betaprime|11.481154071083878|1.0745428160894468|-0.1907763816525907|0.49451421934367956,exponweib|0.9708272227956323|5.0118678394762926|-0.011580991258031765|70.08818422660588
Ferrara,Pianura,1155,81032.8,0.1541,1.608,0.2462,0.37199,0.18028,0.22683,79.41,11.15,0.17,invgamma|1.7328019289349559|-0.3967685971277913|10.052071437181723,betaprime|1.4920470186435764|1.6957409180831138|0.24537280735247932|33.09942981475586,weibull_min|4.938289691752498|1.2275413271266271|66.01297807152417
Firenze,Collina,143,10067.8,2.19159,0.80747,2.29604,0.08711,0.2591,0.25899,36,11.7,0.31,betaprime|1.1424838977820828|1.2730454326892435|0.0204170726618971|4.63328208279346,betaprime|1.1539081315137183|1.2000250594359037|0.07016683198528983|20.57170759602638,weibull_min|4.187102928570859|0.5641270079357995|65.00774602510621
Firenze,Montagna,17,321.6,0.02171,2.19669,3.41232,0.47398,0.1774,0.19924,58.93,7.29,0.47,invgauss|2.152555966853658|-0.001077416336083977|2.542596721959778,invgauss|1.4425660665031037|-0.01335560707092429|13.13850049606528,exponweib|1.2279525631771784|5.626243519250798|-7.846867085190366|71.47360176692652
Firenze,Pianura,19,550.7,1.77598,0.42043,1.33775,0.12283,0.26295,0.08638,31.9,5.46,0.58,betaprime|1.4973241050534025|1.6904335812016624|0.02102561526020351|2.373651550490192,betaprime|2.4746655663627997|0.7892537923760055|0.1673548230626983|1.2269189040684387,gamma|11.672007814354522|18.007912363421745|3.621886434094619
Foggia,Collina,6325,118026.2,0.19742,1.93714,1.49873,0.52893,0.34444,0.09447,66.45,8.48,0.36,exponweib|16.86732232874232|0.3156958585194507|-0.01997247928208421|0.140313552484715,lognorm|1.170503852870078|-0.029277272109483082|9.577381370811798,weibull_min|4.750207028309632|0.6210728812040677|66.23214974967678
Foggia,Montagna,999,13253.7,0.08125,1.59599,3.41232,0.5361,0.07342,0.19924,44.59,6.48,0.39,exponweib|9.19455863714484|0.391107591054767|0.06957841635447154|0.3320188396710375,lognorm|1.0981130388953049|0.03622185546783052|6.900750021788108,weibull_min|5.172393701406339|-0.609391461509029|68.09707343186493
Foggia,Pianura,9956,202773.8,0.02773,3.2925,1.55287,0.28684,0.18132,0.21911,78.2,9.82,0.33,lognorm|1.102805357436161|0.019891643678074337|5.727332760295696,lognorm|1.1662198092633593|-0.003278281638938283|9.912038553040844,weibull_min|4.718511743735279|0.5484851708892999|65.88250519403624
Forlì-Cesena,Collina,82,4657.2,0.05687,2.21637,2.65735,0.56618,0.24712,0.12295,68.55,12.36,0.23,lognorm|0.9473904385789228|0.0005074073027242884|4.507293750157818,betaprime|1.5139728574291134|1.5847198716041202|0.08867484586118327|24.970113984334475,weibull_min|4.712599240545812|0.1389438657475423|67.70658064811514
Forlì-Cesena,Pianura,199,7109.7,0.0682,0.67827,1.09846,0.36868,0.19643,0.35959,75.08,11.36,0.19,lognorm|1.2066182508342131|-0.00954288312929916|3.331216087283397,betaprime|1.9438390160376375|0.9061791532995487|0.3877290013771021|3.081137670907451,weibull_min|4.460169762240973|0.029133602159180004|68.43382904219936
